Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Team,Country,Season
A Mishra,14,6,5,49,13*,49.00,52,94.23,0,0,0,2,2,DD,IND,2017
SS Iyer,12,12,2,338,96,33.80,243,139.09,0,2,0,36,10,DD,IND,2017
CH Morris,9,9,4,154,52*,30.80,94,163.82,0,1,0,15,6,DD,RSA,2017
SV Samson,14,14,0,386,102,27.57,273,141.39,1,2,2,32,19,DD,IND,2017
RR Pant,14,14,0,366,97,26.14,221,165.61,0,2,3,28,24,DD,IND,2017
SW Billings,6,6,0,138,55,23.00,104,132.69,0,1,1,19,1,DD,ENG,2017
KK Nair,14,13,0,281,64,21.61,226,124.33,0,1,1,39,6,DD,IND,2017
CJ Anderson,11,11,4,142,41*,20.28,123,115.44,0,0,1,8,9,DD,NZ,2017
K Rabada,6,3,0,55,44,18.33,64,85.93,0,0,1,5,1,DD,RSA,2017
AD Mathews,3,2,0,32,31,16.00,27,118.51,0,0,0,2,1,DD,SL,2017
PJ Cummins,12,9,4,77,24,15.40,53,145.28,0,0,0,5,4,DD,AUS,2017
Mohammed Shami,8,6,2,36,21,9.00,24,150.00,0,0,0,4,2,DD,IND,2017
MN Samuels,5,4,0,29,27,7.25,31,93.54,0,0,1,1,2,DD,WI,2017
AP Tare,3,3,0,18,18,6.00,23,78.26,0,0,2,3,0,DD,IND,2017
CR Brathwaite,2,2,0,12,11,6.00,15,80.00,0,0,0,2,0,DD,WI,2017
Z Khan,11,3,2,4,2,4.00,13,30.76,0,0,0,0,0,DD,IND,2017
S Nadeem,7,4,1,2,2,0.66,9,22.22,0,0,2,0,0,DD,IND,2017
AR Bawne,1,1,1,12,12*,-,12,100.00,0,0,0,1,0,DD,IND,2017
J Yadav,2,-,-,-,-,-,-,-,-,-,-,-,-,DD,IND,2017
SK Raina,14,14,3,442,84,40.18,307,143.97,0,3,0,42,13,GL,IND,2017
RA Jadeja,12,10,6,158,28,39.50,113,139.82,0,0,0,13,4,GL,IND,2017
KD Karthik,14,13,3,361,65,36.10,259,139.38,0,2,1,30,11,GL,IND,2017
JJ Roy,3,3,1,59,31,29.50,40,147.50,0,0,0,9,1,GL,ENG,2017
BB McCullum,11,11,0,319,72,29.00,217,147.00,0,2,0,29,18,GL,NZ,2017
Ishan Kishan,11,10,0,277,61,27.70,206,134.46,0,1,0,29,13,GL,IND,2017
AJ Tye,6,3,1,53,25,26.50,30,176.66,0,0,0,4,3,GL,AUS,2017
AJ Finch,13,13,1,299,72,24.91,180,166.11,0,2,1,25,19,GL,AUS,2017
DR Smith,12,12,1,239,74,21.72,156,153.20,0,2,2,32,8,GL,WI,2017
JP Faulkner,8,6,2,54,21,13.50,57,94.73,0,0,0,4,0,GL,AUS,2017
P Kumar,6,2,1,8,7*,8.00,9,88.88,0,0,0,0,0,GL,IND,2017
Ankit Soni,7,3,1,7,7*,3.50,9,77.77,0,0,2,0,1,GL,IND,2017
IK Pathan,1,1,0,2,2,2.00,3,66.66,0,0,0,0,0,GL,IND,2017
PJ Sangwan,5,3,1,2,1*,1.00,4,50.00,0,0,1,0,0,GL,IND,2017
DS Kulkarni,6,1,0,1,1,1.00,2,50.00,0,0,0,0,0,GL,IND,2017
AD Nath,1,1,0,0,0,0.00,1,0.00,0,0,1,0,0,GL,IND,2017
